Word,Frequency
Chips,49770
Kettle,41288
&,35565
Smiths,28860
Cheese,27890
Pringles,25102
Doritos,24962
Salt,24719
Crinkle,23960
Corn,22061
Original,21560
Cut,20754
Chip,18645
Chicken,18577
Salsa,18094
Thins,14075
Sour,13882
Crisps,12607
Vinegar,12402
Chilli,12389
RRD,11894
Infuzions,11057
Supreme,10961
Sea,10888
WW,10320
Popd,9693
Cobs,9693
Tortilla,9580
Tostitos,9471
Twisties,9454
Sensations,9429
El,9324
Dip,9324
Old,9324
Paso,9324
Sweet,7883
Lime,7852
Tomato,7669
Cream,7618
Thinly,7507
Tyrrells,6442
And,6373
BBQ,6351
Tangy,6332
Waves,6272
Grain,6272
Salted,6248
Lightly,6248
Soy,6121
Natural,6050
Mild,6048
Deli,5885
Rock,5885
Red,5885
Thai,4737
Burger,4733
Chives,4687
Honey,4661
Nacho,4658
Potato,4647
Cheezels,4603
CCs,4551
Woolworths,4437
Mozzarella,3304
Basil,3304
Pesto,3304
Chili,3296
ChpsHny&Jlpno,3296
Swt/Chlli,3269
&Sr/Cream,3269
Ched,3268
Splash,3252
Of,3252
SweetChili,3242
PotatoMix,3242
Bag,3233
Big,3233
Orgnl,3233
Crnkle,3233
Hot,3229
Spicy,3229
Fig,3219
Camembert,3219
Barbeque,3210
Mexican,3204
Jalapeno,3204
Light&,3188
Dorito,3183
Chp,3183
Sweet&Spcy,3177
Prawn,3174
Rib,3174
Crackers,3174
Southern,3172
Onion,3162
SourCream,3162
&Chives,3159
Crm,3159
ChpsBtroot&Ricotta,3146
Smoked,3145
Chipotle,3145
Crn,3144
Infzns,3144
Crnchers,3144
Gcamole,3144
ChpsFeta&Garlic,3138
Strws,3134
SourCream&Herbs,3134
Veg,3134
Siracha,3127
Chnky,3125
Tom,3125
Ht,3125
Mexicana,3115
Med,3114
Mystery,3114
Flavour,3114
Seasonedchicken,3114
Cream&Chives,3105
Crips,3104
Slt,3095
Vingar,3095
FriedChicken,3083
Sthrn,3083
BBQ&Maple,3083
Rings,3080
ChipCo,3010
SR,2984
Smith,2963
Cheetos,2927
Medium,2879
French,2856
Snbts,1576
Whlgrn,1576
Cheddr&Mstrd,1576
Co,1572
Hrb&Spce,1572
Tmato,1572
Vinegr,1550
Tasty,1539
Belly,1526
Rst,1526
Slow,1526
Pork,1526
Roast,1519
Mac,1512
N,1512
Chutny,1507
Mango,1507
Papadums,1507
Coconut,1506
Chilli&,1506
Snag&Sauce,1503
Truffle,1498
Sp,1498
Chilli&Lime,1495
Barbecue,1489
Stacked,1487
&OnionStacked,1483
Chs&Onion,1481
Balls,1479
Bacon,1479
Chs,1479
S/Cream&Onion,1473
Pepper,1473
D/Style,1469
Plus,1468
Jam,1468
Btroot,1468
SeaSalt,1468
Compny,1468
GrnWves,1468
Swt,1461
Chli&S/Cream,1461
Hony,1460
Chckn,1460
Mzzrlla,1458
Steak,1455
Chimuchurri,1455
Box,1454
Bolognese,1451
Puffs,1448
Originl,1441
saltd,1441
CutSalt/Vinegr,1440
OnionDip,1438
Chikn&Garlic,1434
Aioli,1434
Frch/Onin,1432
Sunbites,1432
Whlegrn,1432
Pc,1431
NCC,1419
Garden,1419
Fries,1418
